./Dat/p-R101-P3C15-I2-V1.txt
 Gerador dos numeros aleatorios das demandas ( 1 ) 
Dados das plantas 
   NoPlanta = 1 Horario [ 420 - 1080 ]
   NoPlanta = 2 Horario [ 420 - 1080 ]
   NoPlanta = 3 Horario [ 420 - 1080 ]
Dados dos Clientes 
  NoCliente = 1 	Demanda em carretas ( 4 ) Horario [ 840 - 910 ]
  NoCliente = 2 	Demanda em carretas ( 1 ) Horario [ 960 - 970 ]
  NoCliente = 3 	Demanda em carretas ( 1 ) Horario [ 900 - 910 ]
  NoCliente = 4 	Demanda em carretas ( 5 ) Horario [ 570 - 660 ]
  NoCliente = 5 	Demanda em carretas ( 5 ) Horario [ 480 - 570 ]
  NoCliente = 6 	Demanda em carretas ( 5 ) Horario [ 510 - 600 ]
  NoCliente = 7 	Demanda em carretas ( 5 ) Horario [ 540 - 630 ]
  NoCliente = 8 	Demanda em carretas ( 3 ) Horario [ 630 - 680 ]
  NoCliente = 9 	Demanda em carretas ( 3 ) Horario [ 570 - 620 ]
  NoCliente = 10 	Demanda em carretas ( 3 ) Horario [ 840 - 890 ]
  NoCliente = 11 	Demanda em carretas ( 2 ) Horario [ 900 - 930 ]
  NoCliente = 12 	Demanda em carretas ( 2 ) Horario [ 900 - 930 ]
  NoCliente = 13 	Demanda em carretas ( 5 ) Horario [ 480 - 570 ]
  NoCliente = 14 	Demanda em carretas ( 2 ) Horario [ 930 - 960 ]
  NoCliente = 15 	Demanda em carretas ( 2 ) Horario [ 810 - 840 ]


Tempo das plantas para construcoes  em minutos

   Planta = 1
Construcao   Tempo de Ida    Tempo de Ida e Volta
1		58		121
2		67		139
3		60		125
4		50		105
5		64		133
6		22		49
7		64		133
8		60		125
9		42		89
10		30		65
11		53		111
12		63		131
13		31		67
14		52		109
15		41		87
   Planta = 2
Construcao   Tempo de Ida    Tempo de Ida e Volta
1		50		105
2		100		205
3		69		143
4		86		177
5		42		89
6		32		69
7		94		193
8		65		135
9		72		149
10		65		135
11		24		53
12		98		201
13		54		113
14		72		149
15		47		99
   Planta = 3
Construcao   Tempo de Ida    Tempo de Ida e Volta
1		41		87
2		82		169
3		72		149
4		70		145
5		42		89
6		14		33
7		76		157
8		50		105
9		53		111
10		52		109
11		42		89
12		85		175
13		36		77
14		53		111
15		31		67
