./Dat/p-C101-P3C15-I2-V2.txt
 Gerador dos numeros aleatorios das demandas ( 2 ) 
Dados das plantas 
   NoPlanta = 1 Horario [ 420 - 1080 ]
   NoPlanta = 2 Horario [ 420 - 1080 ]
   NoPlanta = 3 Horario [ 420 - 1080 ]
Dados dos Clientes 
  NoCliente = 1 	Demanda em carretas ( 3 ) Horario [ 840 - 890 ]
  NoCliente = 2 	Demanda em carretas ( 5 ) Horario [ 480 - 570 ]
  NoCliente = 3 	Demanda em carretas ( 1 ) Horario [ 570 - 580 ]
  NoCliente = 4 	Demanda em carretas ( 4 ) Horario [ 540 - 610 ]
  NoCliente = 5 	Demanda em carretas ( 2 ) Horario [ 540 - 570 ]
  NoCliente = 6 	Demanda em carretas ( 4 ) Horario [ 600 - 670 ]
  NoCliente = 7 	Demanda em carretas ( 5 ) Horario [ 630 - 720 ]
  NoCliente = 8 	Demanda em carretas ( 1 ) Horario [ 810 - 820 ]
  NoCliente = 9 	Demanda em carretas ( 5 ) Horario [ 870 - 960 ]
  NoCliente = 10 	Demanda em carretas ( 1 ) Horario [ 660 - 670 ]
  NoCliente = 11 	Demanda em carretas ( 3 ) Horario [ 510 - 560 ]
  NoCliente = 12 	Demanda em carretas ( 2 ) Horario [ 840 - 870 ]
  NoCliente = 13 	Demanda em carretas ( 4 ) Horario [ 810 - 880 ]
  NoCliente = 14 	Demanda em carretas ( 3 ) Horario [ 540 - 590 ]
  NoCliente = 15 	Demanda em carretas ( 5 ) Horario [ 540 - 630 ]


Tempo das plantas para construcoes  em minutos

   Planta = 1
Construcao   Tempo de Ida    Tempo de Ida e Volta
1		72		149
2		36		77
3		80		165
4		70		145
5		30		65
6		24		53
7		66		137
8		30		65
9		32		69
10		39		83
11		41		87
12		26		57
13		78		161
14		37		79
15		30		65
   Planta = 2
Construcao   Tempo de Ida    Tempo de Ida e Volta
1		10		25
2		42		89
3		20		45
4		14		33
5		44		93
6		47		99
7		8		21
8		46		97
9		43		91
10		28		61
11		47		99
12		41		87
13		17		39
14		48		101
15		50		105
   Planta = 3
Construcao   Tempo de Ida    Tempo de Ida e Volta
1		10		25
2		52		109
3		4		13
4		24		53
5		56		117
6		67		139
7		21		47
8		66		137
9		55		115
10		41		87
11		54		113
12		61		127
13		17		39
14		57		119
15		70		145
